day,month,year,x,y,data_source,data_source2,presence_absence,weights
23,12,2004,27.4737,-24.406,EBIRD,gbifdata,0,0.864812731
23,12,2004,28.5607,-26.8509,ICOSAMP,controldata,0,0.715653968
28,5,2004,27.0552,-28.3264,ICOSAMP,controldata,0,0.994789155
8,5,2004,26.5628,-27.1659,ICOSAMP,controldata,0,0.987156406
8,5,2004,31.3474,-27.3491,EBIRD,gbifdata,0,0.963325214
4,5,2004,27.7924,-29.2621,ICOSAMP,controldata,0,0.990929341
4,5,2004,28.8715,-24.5073,ICOSAMP,controldata,1,0.921381879
4,5,2004,28.8838,-24.4184,ICOSAMP,controldata,1,0.927396453
4,5,2004,27.2671,-27.0843,ICOSAMP,controldata,1,0.968464585
10,3,2004,27.7763,-27.2325,ICOSAMP,controldata,1,0.966287209
1,6,2004,27.8808,-28.2265,ICOSAMP,controldata,0,0.993618389
1,6,2004,27.1225,-27.08194,ICOSAMP,controldata,1,0.955005772
16,3,2004,27.3036,-27.46,ICOSAMP,controldata,1,0.987019772
16,3,2004,25.11577,-17.83302,EBIRD,gbifdata,1,0.768124096
6,5,2004,25.4836,-27.2475,ICOSAMP,controldata,0,0.990515994
6,5,2004,25.5576,-26.6205,ICOSAMP,controldata,0,0.985404276
17,3,2004,27.7108,-27.2621,ICOSAMP,controldata,1,0.962948079
17,3,2004,26.6344,-26.2166,ICOSAMP,controldata,0,0.98144116
23,3,2004,27.7054,-27.2171,ICOSAMP,controldata,1,0.962948079
25,3,2004,27.9027,-27.2026,ICOSAMP,controldata,1,0.963108825
25,3,2004,27.7048,-27.2175,ICOSAMP,controldata,1,0.962948079
30,1,2004,27.3851,-27.9028,ICOSAMP,controldata,0,0.978744451
12,5,2004,28.3653,-26.2766,ICOSAMP,controldata,0,0.612529409
12,5,2004,27.1688,-27.7857,ICOSAMP,controldata,1,0.993847818
12,5,2004,27.1879,-27.819,ICOSAMP,controldata,1,0.994494454
11,5,2004,28.8901,-25.5038,ICOSAMP,controldata,0,0.768887639
11,5,2004,27.4776,-27.0856,ICOSAMP,controldata,1,0.969747629
